experiment	timestamp	score	best_score	kept	mutations	params
11	2026-03-29T17:00:13.388764	59.8467	59.8467	False	max_total_results: 200 -> 250; traverse_min_edge_score: 0.0 -> 0.0	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 250}
12	2026-03-29T17:00:13.447410	57.5692	59.8467	False	traverse_hop1_limit: 60 -> 80; traverse_hop2_limit: 50 -> 80; hop1_score_boost: 0.7855 -> 1.0	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 80, "traverse_hop2_limit": 80, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 1.0, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 200}
13	2026-03-29T17:00:13.504257	59.8467	59.8467	False	keyword_max_results: 0 -> 0; hop2_score_boost: 0.15 -> 0.1833	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.1833, "dedup_strategy": "keep_highest", "max_total_results": 200}
14	2026-03-29T17:00:13.633615	55.4723	59.8467	False	traverse_default_hops: 1 -> 2; traverse_hop2_limit: 50 -> 60	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 60, "traverse_default_hops": 2, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 200}
15	2026-03-29T17:00:13.686193	55.6872	59.8467	False	keyword_max_results: 0 -> 0; keyword_prefix_match_len: 5 -> 7	{"keyword_prefix_match_len": 7, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 200}
16	2026-03-29T17:00:13.760975	63.7997	63.7997	True	hop1_score_boost: 0.7855 -> 0.5383; traverse_seed_limit: 10 -> 30; traverse_hop1_limit: 60 -> 30	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 200}
17	2026-03-29T17:00:13.834818	63.7997	63.7997	False	traverse_default_hops: 1 -> 1; max_total_results: 200 -> 350	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 350}
18	2026-03-29T17:00:13.890409	64.7571	64.7571	True	max_total_results: 200 -> 100; traverse_seed_limit: 30 -> 10	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
19	2026-03-29T17:00:13.945820	64.7261	64.7571	False	hop1_score_boost: 0.5383 -> 0.7164	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7164, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
20	2026-03-29T17:00:14.002425	61.4997	64.7571	False	traverse_hop1_limit: 30 -> 60; traverse_seed_limit: 10 -> 10; hop2_score_boost: 0.15 -> 0.2284	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.2284, "dedup_strategy": "keep_highest", "max_total_results": 100}
21	2026-03-29T17:00:14.059704	61.4997	64.7571	False	hop2_score_boost: 0.15 -> 0.257; traverse_hop1_limit: 30 -> 60	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.257, "dedup_strategy": "keep_highest", "max_total_results": 100}
22	2026-03-29T17:00:14.116961	64.7265	64.7571	False	keyword_min_score: 0.0249 -> 0.0; traverse_hop2_limit: 50 -> 40	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 40, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
23	2026-03-29T17:00:14.214070	59.4861	64.7571	False	traverse_min_edge_score: 0.0 -> 0.0; traverse_default_hops: 1 -> 2	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 2, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
24	2026-03-29T17:00:14.270144	64.7571	64.7571	False	keyword_max_results: 0 -> 0; traverse_hop2_limit: 50 -> 20	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 20, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.5383, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
25	2026-03-29T17:00:14.325823	65.0313	65.0313	True	hop1_score_boost: 0.5383 -> 0.4671	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
26	2026-03-29T17:00:14.381712	64.0484	65.0313	False	traverse_min_edge_score: 0.0 -> 0.0; traverse_hop1_limit: 30 -> 40	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 40, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 100}
27	2026-03-29T17:00:14.437933	65.2704	65.2704	True	max_total_results: 100 -> 50	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
28	2026-03-29T17:00:14.493138	65.2704	65.2704	False	traverse_min_edge_score: 0.0 -> 0.0499	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0499, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
29	2026-03-29T17:00:14.548004	65.3405	65.3405	True	keyword_min_score: 0.0249 -> 0.0368	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
30	2026-03-29T17:00:14.596008	55.6674	65.3405	False	hop1_score_boost: 0.4671 -> 0.2414; keyword_prefix_match_len: 5 -> 8; traverse_hop2_limit: 50 -> 60	{"keyword_prefix_match_len": 8, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 60, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2414, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
31	2026-03-29T17:00:14.650731	65.2412	65.3405	False	keyword_min_score: 0.0368 -> 0.0095	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0095, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
32	2026-03-29T17:00:14.700823	58.9439	65.3405	False	keyword_prefix_match_len: 5 -> 7	{"keyword_prefix_match_len": 7, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
33	2026-03-29T17:00:14.755940	65.2412	65.3405	False	keyword_min_score: 0.0368 -> 0.0091; traverse_default_hops: 1 -> 1; traverse_seed_limit: 10 -> 10	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0091, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
34	2026-03-29T17:00:14.810231	65.3405	65.3405	False	traverse_min_edge_score: 0.0 -> 0.0315	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0315, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
35	2026-03-29T17:00:14.864379	65.9653	65.9653	True	traverse_min_edge_score: 0.0 -> 0.0; traverse_hop1_limit: 30 -> 20	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
36	2026-03-29T17:00:14.919036	65.8705	65.9653	False	traverse_seed_limit: 10 -> 10; keyword_min_score: 0.0368 -> 0.0164	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0164, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4671, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
37	2026-03-29T17:00:14.976842	66.8180	66.8180	True	hop1_score_boost: 0.4671 -> 0.2027; traverse_min_edge_score: 0.0 -> 0.0	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
38	2026-03-29T17:00:15.067465	64.4227	66.8180	False	traverse_default_hops: 1 -> 2; keyword_min_score: 0.0368 -> 0.0609	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0609, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 2, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
39	2026-03-29T17:00:15.120428	65.8082	66.8180	False	traverse_seed_limit: 10 -> 10; keyword_min_score: 0.0368 -> 0.0525; hop1_score_boost: 0.2027 -> 0.4403	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0525, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.4403, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
40	2026-03-29T17:00:15.174370	66.8180	66.8180	False	traverse_hop2_limit: 50 -> 40; traverse_seed_limit: 10 -> 10; keyword_max_results: 0 -> 0	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 40, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
41	2026-03-29T17:00:15.232010	64.1710	66.8180	False	keyword_prefix_match_len: 5 -> 4; traverse_hop1_limit: 20 -> 40; hop2_score_boost: 0.15 -> 0.276	{"keyword_prefix_match_len": 4, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 40, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.276, "dedup_strategy": "keep_highest", "max_total_results": 50}
42	2026-03-29T17:00:15.319850	65.2774	66.8180	False	traverse_default_hops: 1 -> 2	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 2, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
43	2026-03-29T17:00:15.405069	65.2774	66.8180	False	traverse_default_hops: 1 -> 2	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 2, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
44	2026-03-29T17:00:15.453944	47.3341	66.8180	False	keyword_min_score: 0.0368 -> 0.0138; keyword_max_results: 0 -> 60; keyword_prefix_match_len: 5 -> 8	{"keyword_prefix_match_len": 8, "keyword_min_score": 0.0138, "keyword_max_results": 60, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
45	2026-03-29T17:00:15.509194	66.8180	66.8180	False	hop2_score_boost: 0.15 -> 0.242; traverse_hop2_limit: 50 -> 30; traverse_hop1_limit: 20 -> 20	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 30, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.242, "dedup_strategy": "keep_highest", "max_total_results": 50}
46	2026-03-29T17:00:15.591104	64.8173	66.8180	False	traverse_seed_limit: 10 -> 40; traverse_default_hops: 1 -> 1; traverse_hop1_limit: 20 -> 50	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 40, "traverse_hop1_limit": 50, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
47	2026-03-29T17:00:15.669938	65.4281	66.8180	False	traverse_hop1_limit: 20 -> 30; traverse_seed_limit: 10 -> 40; max_total_results: 50 -> 50	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 40, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
48	2026-03-29T17:00:15.724129	66.8180	66.8180	False	hop2_score_boost: 0.15 -> 0.2694; keyword_min_score: 0.0368 -> 0.0426	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0426, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.2694, "dedup_strategy": "keep_highest", "max_total_results": 50}
49	2026-03-29T17:00:15.811517	65.7361	66.8180	False	traverse_seed_limit: 10 -> 40; keyword_min_score: 0.0368 -> 0.0233	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0233, "keyword_max_results": 0, "traverse_seed_limit": 40, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
50	2026-03-29T17:00:15.867688	66.0622	66.8180	False	max_total_results: 50 -> 200; traverse_hop1_limit: 20 -> 20	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 200}
51	2026-03-29T17:00:15.924649	66.7334	66.8180	False	traverse_hop1_limit: 20 -> 20; keyword_min_score: 0.0368 -> 0.0143; hop2_score_boost: 0.15 -> 0.1902	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0143, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.1902, "dedup_strategy": "keep_highest", "max_total_results": 50}
52	2026-03-29T17:00:16.014372	66.0642	66.8180	False	traverse_default_hops: 1 -> 2; hop2_score_boost: 0.15 -> 0.2569; traverse_hop2_limit: 50 -> 20	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 20, "traverse_default_hops": 2, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.2569, "dedup_strategy": "keep_highest", "max_total_results": 50}
53	2026-03-29T17:00:16.071661	66.8180	66.8180	False	traverse_hop2_limit: 50 -> 40; max_total_results: 50 -> 50	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 40, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
54	2026-03-29T17:00:16.128323	66.8180	66.8180	False	traverse_min_edge_score: 0.0 -> 0.1041	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0368, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.1041, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
55	2026-03-29T17:00:16.182438	66.8731	66.8731	True	keyword_max_results: 0 -> 0; traverse_min_edge_score: 0.0 -> 0.0; keyword_min_score: 0.0368 -> 0.0572	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0572, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 20, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 50}
56	2026-03-29T17:00:16.238318	66.6352	66.8731	False	traverse_min_edge_score: 0.0 -> 0.1354; traverse_hop1_limit: 20 -> 30; hop2_score_boost: 0.15 -> 0.2818	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0572, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 30, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.1354, "hop1_score_boost": 0.2027, "hop2_score_boost": 0.2818, "dedup_strategy": "keep_highest", "max_total_results": 50}
